Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0460649,2022-10-03,2022-10-03,,"How I Met Your Mother","How I Met Your Mother",https://www.imdb.com/title/tt0460649/,TV Series,8.3,22,2005,"Comedy, Drama, Romance",782945,2005-09-19,
2,tt0397442,2022-10-03,2022-10-03,,"Gossip Girl","Gossip Girl",https://www.imdb.com/title/tt0397442/,TV Series,7.5,42,2007,"Drama, Romance",215083,2007-09-19,
3,tt0212671,2022-10-03,2022-10-03,,"Malcolm in the Middle","Malcolm in the Middle",https://www.imdb.com/title/tt0212671/,TV Series,8.2,22,2000,"Comedy, Drama, Family",160601,2000-01-09,
4,tt0168366,2022-10-03,2022-10-03,,"Pokémon","Poketto monsutâ",https://www.imdb.com/title/tt0168366/,TV Series,7.6,25,1997,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",56207,1998-09-08,
5,tt7845644,2022-10-03,2022-10-03,,"Single Parents","Single Parents",https://www.imdb.com/title/tt7845644/,TV Series,7.2,30,2018,"Comedy",7912,2018-09-26,
6,tt3551096,2022-10-03,2022-10-03,,"Fresh Off the Boat","Fresh Off the Boat",https://www.imdb.com/title/tt3551096/,TV Series,7.7,22,2015,"Comedy",32285,2015-02-04,
7,tt2058303,2022-10-03,2022-10-03,,"Fresh Meat","Fresh Meat",https://www.imdb.com/title/tt2058303/,TV Series,7.8,50,2011,"Comedy, Drama",21123,2011-09-20,
8,tt4051832,2022-10-03,2022-10-03,,"Lovesick","Lovesick",https://www.imdb.com/title/tt4051832/,TV Series,8.0,24,2014,"Comedy",24062,2015-04-15,
9,tt0487831,2022-10-03,2022-10-03,,"The IT Crowd","The IT Crowd",https://www.imdb.com/title/tt0487831/,TV Series,8.5,25,2006,"Comedy",176339,2006-02-03,
10,tt0386676,2022-10-03,2022-10-03,,"The Office","The Office",https://www.imdb.com/title/tt0386676/,TV Series,9.0,22,2005,"Comedy",834899,2005-03-24,
11,tt1439629,2022-10-03,2022-10-03,,"Community","Community",https://www.imdb.com/title/tt1439629/,TV Series,8.5,22,2009,"Comedy",311349,2009-09-17,
12,tt2467372,2022-10-03,2022-10-03,,"Brooklyn Nine-Nine","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372/,TV Series,8.4,22,2013,"Comedy, Crime",417795,2013-09-17,
13,tt7120662,2022-10-03,2022-10-03,,"Derry Girls","Derry Girls",https://www.imdb.com/title/tt7120662/,TV Series,8.5,30,2018,"Comedy",77763,2018-12-21,
14,tt6315640,2022-10-03,2022-10-03,,"Atypical","Atypical",https://www.imdb.com/title/tt6315640/,TV Series,8.2,30,2017,"Comedy, Drama",114065,2017-08-11,
15,tt3339966,2022-10-03,2022-10-03,,"Unbreakable Kimmy Schmidt","Unbreakable Kimmy Schmidt",https://www.imdb.com/title/tt3339966/,TV Series,7.5,30,2015,"Comedy",83532,2015-03-06,
16,tt6116060,2022-10-03,2022-10-03,,"The Bold Type","The Bold Type",https://www.imdb.com/title/tt6116060/,TV Series,7.8,45,2017,"Comedy, Drama",26150,2017-06-20,
17,tt1663676,2022-10-03,2022-10-03,,"Awkward.","Awkward.",https://www.imdb.com/title/tt1663676/,TV Series,7.5,22,2011,"Action, Comedy, Drama, Romance",46896,2011-07-19,
18,tt10062292,2022-10-03,2022-10-03,,"Never Have I Ever","Never Have I Ever",https://www.imdb.com/title/tt10062292/,TV Series,7.8,30,2020,"Comedy, Drama",95067,2020-04-27,
19,tt11212276,2022-10-03,2022-10-03,,"The Sex Lives of College Girls","The Sex Lives of College Girls",https://www.imdb.com/title/tt11212276/,TV Series,7.7,27,2021,"Comedy",34899,2021-11-18,
20,tt0238784,2022-10-03,2022-10-03,,"Gilmore Girls","Gilmore Girls",https://www.imdb.com/title/tt0238784/,TV Series,8.2,45,2000,"Comedy, Drama",174236,2000-10-05,
21,tt10314462,2022-10-03,2022-10-03,,"Zoey's Extraordinary Playlist","Zoey's Extraordinary Playlist",https://www.imdb.com/title/tt10314462/,TV Series,8.1,60,2020,"Comedy, Drama, Musical",20573,2020-01-07,
22,tt4955642,2022-10-03,2022-10-03,,"The Good Place","The Good Place",https://www.imdb.com/title/tt4955642/,TV Series,8.2,22,2016,"Comedy, Drama, Fantasy, Mystery, Romance",221297,2016-09-19,
23,tt0165598,2022-10-03,2022-10-03,,"That '70s Show","That '70s Show",https://www.imdb.com/title/tt0165598/,TV Series,8.1,22,1998,"Comedy, Drama, Romance",198848,1998-08-23,
24,tt0367279,2022-10-03,2022-10-03,,"Arrested Development","Arrested Development",https://www.imdb.com/title/tt0367279/,TV Series,8.6,22,2003,"Comedy",344086,2003-11-02,
